Model_num,Brand,Model,Touchscreen,Display_size
,realme,11 Pro 5G,Yes,1.5
,SAMSUNG,Guru 1200,No,6.7
,realme,11 Pro 5G,Yes,6.38
,vivo,T2 5G,Yes,6.5
,MOTOROLA,e13,Yes,6.78
,Infinix,HOT 30 5G,Yes,6.71
,REDMI,12C,Yes,6.71
,REDMI,12C,Yes,6.71
,REDMI,12C,Yes,6.1
,APPLE,iPhone 11,Yes,6.72
,realme,10 Pro 5G,Yes,6.58
,POCO,M4 5G,Yes,6.6
,SAMSUNG,Galaxy F14 5G,Yes,6.58
,POCO,M4 5G,Yes,6.58
,POCO,M4 5G,Yes,6.71
,REDMI,12C,Yes,6.7
,OnePlus,Nord CE3 5G,Yes,6.67
,REDMI,Note 12 Pro 5G,Yes,2.4
,MarQ,M70 Shakti,No,6.5
,MOTOROLA,G32,Yes,6.72
,realme,10 Pro 5G,Yes,6.72
,realme,10 Pro 5G,Yes,6.1
,APPLE,iPhone 11,Yes,6.52
,REDMI,A1+,Yes,6.7
,APPLE,Iphone 15 Plus,Yes,6.7
,APPLE,Iphone 15 Pro Max,Yes,2.4
,MarQ,M70 Shakti,No,6.1
,APPLE,Iphone 15,Yes,6.72
,OnePlus,Nord CE 3 Lite 5G,Yes,6.6
,SAMSUNG,Galaxy M14 5G,Yes,6.52
,REDMI,A1+,Yes,6.5
,MOTOROLA,e13,Yes,2
,SAMSUNG,GURU MUSIC 2,No,6.6
,SAMSUNG,Galaxy M14 5G,Yes,6.7
,realme,11 Pro 5G,Yes,6.6
,itel,A60S,Yes,6.6
,SAMSUNG,Galaxy F23 5G,Yes,6.72
,OnePlus,Nord CE 3 Lite 5G,Yes,6.1
,APPLE,iPhone 13,Yes,1.77
,LAVA,A3 VIBE,No,6.52
,REDMI,A2,Yes,6.67
,REDMI,Note 12,Yes,6.1
,APPLE,iPhone 13,Yes,1.44
,Kechaoda,K66 The Music House 4,No,6.5
,MOTOROLA,Edge 40,Yes,6.7
,OnePlus,11R 5G,Yes,6.67
,REDMI,Note 12,Yes,6.1
,APPLE,iPhone 13,Yes,6.1
,APPLE,iPhone 12,Yes,6.5
,MOTOROLA,G32,Yes,1.77
,Micromax,X512,No,6.5
,MOTOROLA,g73 5G,Yes,6.56
,OPPO,A17,Yes,6.67
,REDMI,Note 12,Yes,6.6
,SAMSUNG,Galaxy F14 5G,Yes,6.78
,Infinix,Zero 5G 2023,Yes,6.71
,REDMI,12c,Yes,6.71
,REDMI,12C,Yes,6.7
,OnePlus,11R 5G,Yes,2.8
,MarQ,M80 Jalwa,No,6.1
,APPLE,Iphone 15,Yes,6.67
,REDMI,Note 12 5G,Yes,6.5
,SAMSUNG,Galaxy M34 5G without charger,Yes,1.77
,Nokia,110 TA-1302 DS,No,6.67
,REDMI,Note 12 5G,Yes,6.58
,POCO,M5,Yes,1.44
,Kechaoda,K115,No,6.74
,realme,Narzo N53,Yes,6.6
,SAMSUNG,Galaxy F23 5G,Yes,6.6
,SAMSUNG,Galaxy F14 5G,Yes,6.71
,REDMI,12c,Yes,6.78
,Infinix,Zero 5G 2023,Yes,6.67
,REDMI,Note 12 Pro 5G,Yes,6.72
,realme,C55,Yes,6.72
,realme,C55,Yes,6.7
,APPLE,iPhone 14 Plus,Yes,1.77
,Micromax,S114,No,6.78
,Infinix,Zero 5G 2023,Yes,6.7
,Infinix,Note 12,Yes,1.8
,Kechaoda,K66 The Music House 4,No,6.72
,realme,C55,Yes,0.66
,Kechaoda,A26,No,1.8
,HOTLINE,H6700,No,0.66
,Kechaoda,A26,No,6.67
,REDMI,Note 12,Yes,6.7
